trial,dataset,family,pr(Y=1|S=mc),DP,"t(P(S=1), DP)","t(P(S=1), DP_ground_truth)",I_v(X_to_S)
1,credit_card,mlp_two_layer,0.77,0.358617355,0.015415299,0.037732701,0.096140277
1,credit_card,mlp_three_layer,0.77,0.403785324,0.019553617,0.037732701,0.141360825
1,credit_card,sgd_lr,0.79,0.262274042,0.008237397,0.040800459,0.046344339
1,credit_card,mlp_one_layer,0.79,0.328383544,0.0129214,0.040800459,0.068483487
1,credit_card,mlp_two_layer,0.79,0.366820428,0.016130106,0.040800459,0.204799014
1,credit_card,mlp_three_layer,0.79,0.368491058,0.016277682,0.040800459,0.239828933
1,credit_card,sgd_lr,0.81,0.264624252,0.008385851,0.044177396,0.047988803
1,credit_card,mlp_one_layer,0.81,0.32022045,0.012285947,0.044177396,0.077727533
1,credit_card,mlp_two_layer,0.81,0.413874673,0.02054568,0.044177396,0.087409227
1,credit_card,mlp_three_layer,0.81,0.44240578,0.023485118,0.044177396,0.142464445
1,credit_card,sgd_lr,0.83,0.283921258,0.009655085,0.04703181,0.053315622
1,credit_card,mlp_one_layer,0.83,0.339418903,0.013806049,0.04703181,0.08054136
1,credit_card,mlp_two_layer,0.83,0.396070127,0.018811688,0.04703181,0.150029459
1,credit_card,mlp_three_layer,0.83,0.408551598,0.020019191,0.04703181,0.313610526
1,credit_card,sgd_lr,0.85,0.292256835,0.010231105,0.049287562,0.053927125
1,credit_card,mlp_one_layer,0.85,0.341621368,0.013986135,0.049287562,0.093487215
1,credit_card,mlp_two_layer,0.85,0.413560928,0.020514458,0.049287562,0.209726375
1,credit_card,mlp_three_layer,0.85,0.434875975,0.022690102,0.049287562,0.142363164
1,credit_card,sgd_lr,0.87,0.305761941,0.011199931,0.053178033,0.059367287
1,credit_card,mlp_one_layer,0.87,0.368080011,0.016241309,0.053178033,0.092088251
1,credit_card,mlp_two_layer,0.87,0.378348041,0.01716217,0.053178033,0.196968837
1,credit_card,mlp_three_layer,0.87,0.487539173,0.028540395,0.053178033,0.396175852
1,credit_card,sgd_lr,0.89,0.296176506,0.010507761,0.056544638,0.056530549
1,credit_card,mlp_one_layer,0.89,0.381903013,0.017486946,0.056544638,0.096444253
1,credit_card,mlp_two_layer,0.89,0.46949413,0.026459519,0.056544638,0.246780422
1,credit_card,mlp_three_layer,0.89,0.425472462,0.021716648,0.056544638,0.21837485
1,credit_card,sgd_lr,0.91,0.308315457,0.011388062,0.059525333,0.062385656
1,credit_card,mlp_one_layer,0.91,0.396759546,0.018877397,0.059525333,0.09447841
1,credit_card,mlp_two_layer,0.91,0.413722265,0.02053051,0.059525333,0.25278835
1,credit_card,mlp_three_layer,0.91,0.465919367,0.026056738,0.059525333,0.32041855
1,credit_card,sgd_lr,0.93,0.311143875,0.011598284,0.062755096,0.062609565
1,credit_card,mlp_one_layer,0.93,0.392854547,0.018506731,0.062755096,0.102751976
1,credit_card,mlp_two_layer,0.93,0.44517551,0.023781029,0.062755096,0.220285235
1,credit_card,mlp_three_layer,0.93,0.568811501,0.038902078,0.062755096,0.389311182
1,credit_card,sgd_lr,0.95,0.319186749,0.012206627,0.066447776,0.064402954
1,credit_card,mlp_one_layer,0.95,0.39797898,0.018993906,0.066447776,0.106935917
1,credit_card,mlp_two_layer,0.95,0.423084605,0.021472883,0.066447776,0.19657019
1,credit_card,mlp_three_layer,0.95,0.592671021,0.042252871,0.066447776,0.349474695
1,compas,sgd_lr,0.05,0.165936695,0.003441083,0.026919958,0.088983362
1,compas,mlp_one_layer,0.05,0.23317817,0.006797489,0.026919958,0.108398474
1,compas,mlp_two_layer,0.05,0.2420099,0.007322585,0.026919958,0.10716168
1,compas,mlp_three_layer,0.05,0.243418712,0.007408158,0.026919958,0.104651952
1,compas,sgd_lr,0.07,0.176387154,0.003888354,0.024745872,0.09214157
1,compas,mlp_one_layer,0.07,0.253659254,0.008045158,0.024745872,0.107214227
